year,Avengers: Endgame,Lion King,Toy Story 4,Captain Marvel,Spiderman: Far from home,
13/08/2019,31799,2602139,628202,,1023149,
14/08/2019,33550,4068174,944028,,640427,
15/08/2019,24868,2272418,547800,,516765,
16/08/2019,21669,1956106,438470,,765143,
17/08/2019,28714,3305620,546185,,1190789,
18/08/2019,42958,5228694,930995,,845884,
19/08/2019,29077,3798373,674023,,345734,
20/08/2019,11510,1341200,264903,,452481,
21/08/2019,12546,2020333,341370,,325111,
22/08/2019,11143,1433229,266438,,269320,
23/08/2019,10821,1150301,217035,,464600,
24/08/2019,13186,2207076,331284,,737918,
25/08/2019,22021,3432192,531815,,479955,
26/08/2019,15061,2425963,367737,,180216,
27/08/2019,4865,825136,141526,,267935,
28/08/2019,5529,1318230,203252,,176539,
29/08/2019,4811,835661,148246,,76418,
30/08/2019,5113,699301,118783,,1146126,
31/08/2019,15229,1540168,475880,,1551418,
01/09/2019,27112,2618709,915745,,1606189,
02/09/2019,28434,2764575,991205,,1342554,
03/09/2019,16062,2426180,1087805,,,
04/09/2019,,,,,405889,
05/09/2019,2820,635293,216192,,242798,
06/09/2019,2448,375487,138891,,135284,
07/09/2019,2579,323733,91652,,286115,
08/09/2019,3050,991156,99621,,596384,
09/09/2019,5476,2066100,266996,,355553,
10/09/2019,4154,1267085,180866,,94889,
11/09/2019,940,240239,32076,,141988,
12/09/2019,2098,436230,44368,,98657,
13/09/2019,1934,266684,34901,,78122,
14/09/2019,1663,256842,34162,,156975,
15/09/2019,,840826,84986,,331439,
16/09/2019,,1769273,205436,,172507,
17/09/2019,,1039806,122102,,44052,
18/09/2019,,204570,20775,,62656,
19/09/2019,,332342,29306,,42585,
20/09/2019,,205433,23159,,31250,
21/09/2019,,190279,20956,,91863,
22/09/2019,,595340,65358,,176761,
23/09/2019,,1268743,136359,,107129,
24/09/2019,,813705,88135,,26443,
25/09/2019,,169118,18758,,34939,
26/09/2019,,246596,25599,,25983,
27/09/2019,,162714,16664,,23827,
28/09/2019,,146142,16948,,68127,
29/09/2019,,382829,47098,,144319,
30/09/2019,,777553,96962,,78086,
01/10/2019,,496555,58211,,22451,
02/10/2019,,156870,14750,,24369,
03/10/2019,,172350,14116,,18004,
04/10/2019,,106135,11250,,15745,
05/10/2019,,81103,9817,,30864,
06/10/2019,,135203,51594,,62299,
07/10/2019,,325560,109030,,34013,
08/10/2019,,224326,70809,,10719,
09/10/2019,,72697,18623,,14133,
10/10/2019,,95047,23578,,13327,
11/10/2019,,100122,23272,,10975,
12/10/2019,,53689,21070,,16787,
13/10/2019,,159235,44954,,26296,
14/10/2019,,294052,68437,,16652,
15/10/2019,,231675,46102,,10014,
16/10/2019,,174141,26313,,,
17/10/2019,,,,,5117,
18/10/2019,,80756,11870,,4827,
19/10/2019,,68370,12930,,5183,
20/10/2019,,72698,13898,,7269,
21/10/2019,,75938,21559,,13448,
22/10/2019,,120758,41621,,7793,
23/10/2019,,73919,27352,,2172,
24/10/2019,,20871,6351,,2261,
25/10/2019,,24229,6790,,1842,
26/10/2019,,20079,5879,,2030,
27/10/2019,,21711,7204,,,
28/10/2019,,38380,15097,,,
29/10/2019,,65451,27967,,,
30/10/2019,,42752,19370,,,
31/10/2019,,12037,3976,,,
01/11/2019,,14035,4541,,,
02/11/2019,,11342,4501,,,
03/11/2019,,13193,5069,,,
04/11/2019,,,,,,
05/11/2019,,25258,10215,,,
06/11/2019,,53167,26627,,,
07/11/2019,,32908,18760,,,
08/11/2019,,6198,3342,,,
09/11/2019,,10403,5009,,,
10/11/2019,,7948,3653,,,
11/11/2019,,7740,4297,,,
12/11/2019,,18225,8803,,,
13/11/2019,,37430,20645,,,
14/11/2019,,27626,14776,,,
15/11/2019,,16108,9969,,,
16/11/2019,,5560,3223,,,
17/11/2019,,4941,2715,,,
18/11/2019,,5000,2188,,,
19/11/2019,,12039,4747,,,
20/11/2019,,28480,14502,,,
21/11/2019,,17221,10747,,,
22/11/2019,,3118,1481,,,
23/11/2019,,3395,1691,,,
24/11/2019,,3447,1641,,,
25/11/2019,,3550,2200,,,
26/11/2019,,8144,2983,,,
27/11/2019,,15069,7865,,,
28/11/2019,,10392,5383,,,
29/11/2019,,3809,2109,,,
30/11/2019,,5068,3964,,,
01/12/2019,,5400,3925,,,
02/12/2019,,2400,1875,,,
03/12/2019,,,,,,
04/12/2019,,6738,5153,,,
05/12/2019,,6573,5495,,,
06/12/2019,,2687,2796,,,
07/12/2019,,871,536,,,
08/12/2019,,1018,733,,,
09/12/2019,,860,608,,,
10/12/2019,,929,591,,,
11/12/2019,,,,,,
12/12/2019,,,,,,
13/12/2019,,,,,,
14/12/2019,,,,,,
15/12/2019,,,,,,
16/12/2019,,,,,,
17/12/2019,,,,,,
18/12/2019,,,,,,
19/12/2019,,,,,,
20/12/2019,,,,,,
21/12/2019,,,,,,
22/12/2019,,,,,,
23/12/2019,,,,,,
24/12/2019,,,,,,
25/12/2019,,,,,,
26/12/2019,,,,,,
27/12/2019,,,,,,
28/12/2019,,,,,,
29/12/2019,,,,,,
30/12/2019,,,,,,
