year,Captain Marvel,Dumbo,Shazam,Pokemon,John Wick,Aladdin,Godzilla,Secret Life of Pets 2,Toy Story 4
2019-07-03,5274,13110,10941,63285,315692,1825610,140684,983825,7704752
2019-07-04,5043,18802,10568,55580,362528,1546567,178594,1072540,7737457
2019-07-05,4076,14208,10859,48560,485766,1627869,,,
2019-07-06,4803,15680,13259,48002,,,261690,1592530,11901267
2019-07-07,,,,,704242,2620884,315872,1830415,12830622
2019-07-08,,20728,17128,72819,866602,2930576,222866,1252650,9128466
2019-07-09,,23697,33254,85837,558567,1964189,113482,669010,4174707
2019-07-10,,17123,14722,64869,238223,1008976,151645,1090050,6675157
2019-07-11,,8403,7813,34543,340360,1625612,113077,789590,4305709
2019-07-12,,11785,8901,46593,249833,1103436,91108,829605,4431102
2019-07-13,,10035,8204,39235,218946,1173431,137716,966890,6253453
2019-07-14,,11698,10321,43081,363794,1867725,176502,1251175,8201112
2019-07-15,,13561,15369,47629,572989,2496922,144318,987730,6491074
2019-07-16,,18493,21421,64360,397633,1808477,60316,499650,2810085
2019-07-17,,13664,16741,52184,176595,887127,81591,928550,4957061
2019-07-18,,6908,8353,27081,247257,1556859,60211,764975,3444416
2019-07-19,,10414,7931,36328,188645,1112141,39473,585010,3071574
2019-07-20,,8926,7835,37279,120598,894743,44804,416265,4629310
2019-07-21,,8696,7708,35226,166578,1204236,69448,612120,6225679
2019-07-22,,11214,8082,34142,273395,1650771,53874,506680,4696097
2019-07-23,,15833,11435,46120,190420,1230417,25789,270835,2035725
2019-07-24,,7665,8790,33815,99332,577373,34168,433850,3301452
2019-07-25,,3848,4178,18394,120009,1020109,27202,292385,2003406
2019-07-26,,5295,4909,24738,96748,624253,24621,252955,1931488
2019-07-27,,4924,4138,22133,85456,592713,59173,247510,3154891
2019-07-28,,4629,4372,22684,111508,911387,89151,356280,4213846
2019-07-29,,3945,,29607,185751,1244420,74215,318135,3084896
2019-07-30,,5374,,44731,127287,883841,33877,190120,1430583
2019-07-31,,4480,,33856,63294,456060,43636,324060,2315567
2019-08-01,,2581,,17253,79348,754536,32513,235890,1529941
2019-08-02,,3446,,23034,59177,512073,29421,200775,1414513
2019-08-03,,3599,,19466,46327,448689,33254,220645,2199693
2019-08-04,,3067,,17231,66203,613382,48085,281590,3025863
2019-08-05,,2461,,20021,99357,869662,41857,239595,2123575
2019-08-06,,3214,,27827,77910,642441,19837,163545,1072748
2019-08-07,,3150,,18865,42618,360179,24468,232580,1651893
2019-08-08,,1393,,12349,44131,473730,19186,197665,1180537
2019-08-09,,1910,,16261,40433,363795,17103,153810,1023316
2019-08-10,,1994,,12603,31058,280486,16527,117560,1328054
2019-08-11,,2004,,14206,37422,227660,28921,169665,1875933
2019-08-12,,,,11842,56910,351264,22633,120870,1321452
2019-08-13,,,,16951,35466,222414,9164,72895,628202
2019-08-14,,,,11486,17933,134192,10831,77930,944028
2019-08-15,,,,6114,19544,147854,7515,54820,547800
2019-08-16,,,,7078,18174,96644,8011,44795,438470
2019-08-17,,,,5259,12942,78962,11267,70940,546185
2019-08-18,,,,6033,40368,94020,20891,114485,930995
2019-08-19,,,,,58599,145093,15103,79570,674023
2019-08-20,,,,,34946,76787,4653,34385,264903
2019-08-21,,,,,13777,27592,4761,39390,341370
2019-08-22,,,,,16374,40841,4176,47285,266438
2019-08-23,,,,,12939,33154,4281,34420,217035
